model,hardness_metric,strategy,Dataset,metric,baseline,gain_index,gain_std,n_seeds,win_rate
HardTVAE_CB_curriculum,CB,curriculum,BCWDD,F1 Score,TVAE,0.008618094041741653,0.011984837210625487,10,0.4
HardTVAE_CB_curriculum,CB,curriculum,BCWDD,Precision,TVAE,0.00837220298439143,0.011643247596641319,10,0.4
HardTVAE_CB_curriculum,CB,curriculum,BCWDD,Recall,TVAE,0.008771929824561386,0.012405382126079768,10,0.4
HardTVAE_CB_curriculum,CB,curriculum,BCWDD,Specificity,TVAE,0.003132832080200476,0.012405382126079731,10,0.3
HardTVAE_CB_curriculum,CB,curriculum,HeartCleveland,F1 Score,TVAE,0.002925788888408143,0.03597636958759626,10,0.3
HardTVAE_CB_curriculum,CB,curriculum,HeartCleveland,Precision,TVAE,0.004715587892582784,0.03590143326787461,10,0.3
HardTVAE_CB_curriculum,CB,curriculum,HeartCleveland,Recall,TVAE,0.0032258064516128893,0.03550015918111651,10,0.3
HardTVAE_CB_curriculum,CB,curriculum,HeartCleveland,Specificity,TVAE,0.0026565464895635716,0.03849059987144234,10,0.3
HardTVAE_CB_curriculum,CB,curriculum,Hepatitis,F1 Score,TVAE,0.07146658152405282,0.12304289286430398,6,0.5
HardTVAE_CB_curriculum,CB,curriculum,Hepatitis,Precision,TVAE,0.1332837301587302,0.15789586790866733,6,0.6666666666666666
HardTVAE_CB_curriculum,CB,curriculum,Hepatitis,Recall,TVAE,0.020833333333333332,0.10944937947136414,6,0.5
HardTVAE_CB_curriculum,CB,curriculum,Hepatitis,Specificity,TVAE,0.2612179487179487,0.29981400381508067,6,0.6666666666666666
HardTVAE_CB_curriculum,CB,curriculum,Hypothyroid,F1 Score,TVAE,0.0019041930648820982,0.003940160528144257,5,0.4
HardTVAE_CB_curriculum,CB,curriculum,Hypothyroid,Precision,TVAE,0.0014468379944570843,0.0029959124234992555,5,0.4
HardTVAE_CB_curriculum,CB,curriculum,Hypothyroid,Recall,TVAE,0.0021164021164021387,0.004347004424644272,5,0.4
