model,strategy,annealing_weight,pacing_function,p,v_dist_mean,v_dist_std,v_comp_mean,v_comp_std,v_hard_mean,v_hard_std,v_topo_mean,v_topo_std,MFI_mean,MFI_std
HardTVAE,curriculum,0.05,,0.2,0.5921,0.1112,0.7826,0.0345,0.2717,0.0742,0.8567,0.0312,0.5039,0.0836
HardTVAE,curriculum,0.1,,0.2,0.591,0.1265,0.8098,0.0468,0.274,0.0776,0.8649,0.0293,0.5083,0.0782
HardTVAE,curriculum,0.2,,0.2,0.6063,0.1132,0.8115,0.038,0.2757,0.071,0.8594,0.0171,0.5115,0.0689
HardTVAE,curriculum,0.05,,0.3,0.5851,0.1231,0.8032,0.0261,0.2712,0.0785,0.8459,0.0303,0.5018,0.0889
HardTVAE,curriculum,0.1,,0.3,0.5796,0.1334,0.8025,0.0464,0.2705,0.0675,0.8655,0.0202,0.504,0.0803
HardTVAE,curriculum,0.2,,0.3,0.5956,0.1155,0.7994,0.0356,0.2729,0.0783,0.8777,0.0319,0.5085,0.0826
HardTVAE,curriculum,0.05,,0.4,0.5838,0.115,0.7908,0.0324,0.2804,0.0845,0.8371,0.046,0.5071,0.0903
HardTVAE,curriculum,0.1,,0.4,0.5954,0.1046,0.8211,0.0398,0.2711,0.0732,0.8661,0.0383,0.5072,0.0727
HardTVAE,curriculum,0.2,,0.4,0.5696,0.1442,0.7879,0.053,0.2652,0.0807,0.861,0.0483,0.4934,0.0964
HardTVAE,self_paced,0.05,linear,,0.578,0.1457,0.8097,0.0346,0.2905,0.0621,0.8809,0.0133,0.5223,0.0825
HardTVAE,self_paced,0.1,linear,,0.5764,0.1216,0.7871,0.0296,0.27,0.0655,0.8649,0.03,0.5012,0.0761
HardTVAE,self_paced,0.2,linear,,0.5854,0.1294,0.804,0.0349,0.2688,0.08,0.8509,0.0392,0.4987,0.0804
HardTVAE,self_paced,0.05,logarithmic,,0.5869,0.0951,0.801,0.0444,0.2693,0.0735,0.8557,0.1005,0.4997,0.0737
HardTVAE,self_paced,0.1,logarithmic,,0.5817,0.1233,0.802,0.0411,0.2848,0.0832,0.8368,0.0388,0.5088,0.088
HardTVAE,self_paced,0.2,logarithmic,,0.6158,0.103,0.8037,0.0442,0.2793,0.0723,0.8575,0.0139,0.5169,0.0776
HardTVAE,self_paced,0.05,root,,0.5877,0.1383,0.8203,0.0483,0.264,0.0837,0.8469,0.0446,0.4951,0.0943
HardTVAE,self_paced,0.1,root,,0.5963,0.1379,0.8103,0.0507,0.2731,0.0766,0.8551,0.0297,0.5071,0.0876
HardTVAE,self_paced,0.2,root,,0.5987,0.1411,0.8001,0.0507,0.2735,0.0836,0.8492,0.0804,0.5047,0.0841
HardTVAE,static,0.05,,,0.5444,0.157,0.7775,0.055,0.2666,0.0829,0.8706,0.0235,0.4892,0.1042
HardTVAE,static,0.1,,,0.5818,0.1311,0.8016,0.0469,0.2697,0.0732,0.8744,0.027,0.5034,0.0806
HardTVAE,static,0.2,,,0.5839,0.1519,0.7985,0.0451,0.271,0.0737,0.8635,0.0119,0.504,0.0916
TVAE,Baseline,—,—,—,0.5971,0.0944,0.7972,0.0387,0.2767,0.0802,0.8812,0.0615,0.5092,0.087
CTGAN,Baseline,—,—,—,0.7025,0.1222,0.8188,0.0389,0.1844,0.0419,0.8456,0.0635,0.4263,0.0595
