model,strategy,annealing_weight,pacing_function,p,Precision_mean,Precision_std,Recall_mean,Recall_std,F1 Score_mean,F1 Score_std,Specificity_mean,Specificity_std
HardTVAE,curriculum,0.05,,0.2,0.8255,0.1424,0.8834,0.0794,0.8512,0.1117,0.5559,0.3279
HardTVAE,curriculum,0.1,,0.2,0.7986,0.1633,0.8726,0.0951,0.83,0.1326,0.5613,0.3435
HardTVAE,curriculum,0.2,,0.2,0.8029,0.1545,0.8756,0.0824,0.8307,0.116,0.5326,0.3039
HardTVAE,curriculum,0.05,,0.3,0.8027,0.1192,0.8677,0.0688,0.8313,0.0928,0.444,0.2967
HardTVAE,curriculum,0.1,,0.3,0.8092,0.1386,0.8577,0.0987,0.8155,0.1235,0.4996,0.2762
HardTVAE,curriculum,0.2,,0.3,0.8515,0.1246,0.8889,0.0884,0.8652,0.1085,0.6781,0.2744
HardTVAE,curriculum,0.05,,0.4,0.8194,0.1352,0.8673,0.0769,0.8239,0.105,0.4521,0.2495
HardTVAE,curriculum,0.1,,0.4,0.8045,0.1384,0.8574,0.0982,0.8194,0.12,0.5031,0.2797
HardTVAE,curriculum,0.2,,0.4,0.8248,0.1398,0.8736,0.0788,0.8352,0.1088,0.5172,0.2941
HardTVAE,self_paced,0.05,linear,,0.8219,0.1401,0.875,0.0814,0.84,0.1103,0.5208,0.2964
HardTVAE,self_paced,0.1,linear,,0.7937,0.1625,0.8669,0.0948,0.8219,0.1286,0.5185,0.2973
HardTVAE,self_paced,0.2,linear,,0.7738,0.1449,0.8548,0.0937,0.8048,0.1254,0.4749,0.2566
HardTVAE,self_paced,0.05,quadratic,,0.8487,0.0844,0.8903,0.0588,0.8665,0.0697,0.5693,0.2036
HardTVAE,self_paced,0.1,quadratic,,0.7768,0.1494,0.858,0.0992,0.8092,0.1295,0.4822,0.2647
HardTVAE,self_paced,0.2,quadratic,,0.8151,0.1382,0.8712,0.0835,0.8382,0.1102,0.5355,0.3079
HardTVAE,self_paced,0.05,root,,0.8367,0.1528,0.8849,0.0747,0.8561,0.1132,0.5831,0.3511
HardTVAE,self_paced,0.1,root,,0.7818,0.1706,0.8562,0.1062,0.8067,0.1437,0.5099,0.3059
HardTVAE,self_paced,0.2,root,,0.8089,0.1613,0.877,0.0936,0.8389,0.1299,0.6051,0.3822
HardTVAE,static,0.05,,,0.8191,0.1393,0.8679,0.0869,0.8296,0.1135,0.5151,0.2895
HardTVAE,static,0.1,,,0.8539,0.1324,0.8779,0.1013,0.8456,0.1285,0.6406,0.332
HardTVAE,static,0.2,,,0.7899,0.1414,0.8718,0.0845,0.8256,0.1161,0.5087,0.2831
TVAE,Baseline,—,—,—,0.7732,0.1784,0.8544,0.1086,0.8087,0.147,0.4979,0.3828
CTGAN,Baseline,—,—,—,0.7834,0.115,0.8483,0.0869,0.8117,0.0971,0.4179,0.3488
