Classifier,cv_k_folds,Random_State,Accuracy,Precision,Recall,F1 Score,Specificity,Balanced Accuracy,dataset,hardness_metric,seed,weighting_strategy
LogisticRegression,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,,670488,static
RandomForestClassifier,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,,670488,static
GaussianNB,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,,670488,static
SVC,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,,670488,static
KNeighborsClassifier,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,,670488,static
LogisticRegression,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,,116740,static
RandomForestClassifier,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,,116740,static
GaussianNB,3,116740,0.9767441860465116,1.0,0.8571428571428571,0.9230769230769231,1.0,0.9285714285714286,NewThyroid2,,116740,static
SVC,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,,116740,static
KNeighborsClassifier,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,,116740,static
LogisticRegression,3,26226,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,,26226,static
RandomForestClassifier,3,26226,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,,26226,static
GaussianNB,3,26226,0.9767441860465116,1.0,0.8571428571428571,0.9230769230769231,1.0,0.9285714285714286,NewThyroid2,,26226,static
SVC,3,26226,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,,26226,static
KNeighborsClassifier,3,26226,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,,26226,static
LogisticRegression,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,relative_entropy,670488,curriculum
RandomForestClassifier,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,relative_entropy,670488,curriculum
GaussianNB,3,670488,0.9767441860465116,1.0,0.8571428571428571,0.9230769230769231,1.0,0.9285714285714286,NewThyroid2,relative_entropy,670488,curriculum
SVC,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,relative_entropy,670488,curriculum
KNeighborsClassifier,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,relative_entropy,670488,curriculum
LogisticRegression,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,relative_entropy,670488,static
RandomForestClassifier,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,relative_entropy,670488,static
GaussianNB,3,670488,0.9534883720930233,1.0,0.7142857142857143,0.8333333333333334,1.0,0.8571428571428572,NewThyroid2,relative_entropy,670488,static
SVC,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,relative_entropy,670488,static
KNeighborsClassifier,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,relative_entropy,670488,static
LogisticRegression,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,relative_entropy,670488,self_paced
RandomForestClassifier,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,relative_entropy,670488,self_paced
GaussianNB,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,relative_entropy,670488,self_paced
SVC,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,relative_entropy,670488,self_paced
KNeighborsClassifier,3,670488,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,relative_entropy,670488,self_paced
LogisticRegression,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,relative_entropy,116740,curriculum
RandomForestClassifier,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,relative_entropy,116740,curriculum
GaussianNB,3,116740,0.9767441860465116,1.0,0.8571428571428571,0.9230769230769231,1.0,0.9285714285714286,NewThyroid2,relative_entropy,116740,curriculum
