dataset,hardness_metric,seed,weighting_strategy,mean_similarity,mean_real_score,mean_synth_score,std_real_score,std_synth_score,score_difference
BCWDD,,670488,static,0.8458102487383702,0.22541749030518263,0.22353624281780007,0.0018249600297177721,0.0017578975751080834,0.0018812474873825535
BCWDD,,116740,static,0.7923329161213979,0.23406454032850854,0.23544103408579112,0.0012323269940856857,0.0014334753939521019,0.0013764937572825764
NewThyroid2,,670488,static,0.8608549357758697,0.2665847395040548,0.26826041710726495,0.0,0.012288190969891206,0.001675677603210135
NewThyroid2,,116740,static,0.7859534197041832,0.2695586592990631,0.27695176219239487,0.0,0.0035411150172917297,0.007393102893331782
BCWDD,,26226,static,0.7872531436167249,0.23027166246111871,0.2211701706539575,0.0036947827007027573,0.000572370463252095,0.009101491807161216
NewThyroid2,,26226,static,0.8942203044082057,0.2726460846149061,0.2716109199417718,0.0,0.002229329428567344,0.0010351646731343034
BCWDD,relative_entropy,670488,curriculum,0.8062979781688586,0.22541749030518263,0.19580607457979335,0.0018249600297177721,0.001130624431651811,0.02961141572538928
NewThyroid2,relative_entropy,670488,curriculum,0.8810824975468585,0.2665847395040548,0.2582410694278198,0.0,0.006201857106654519,0.008343670076234988
NewThyroid2,relative_entropy,670488,static,0.8342658692226298,0.2665847395040548,0.24060253607921953,0.0,0.0004824358505485505,0.025982203424835287
BCWDD,relative_entropy,670488,static,0.8140433598699688,0.22541749030518263,0.2075497374479787,0.0018249600297177721,0.0008066747191317087,0.017867752857203933
NewThyroid2,relative_entropy,670488,self_paced,0.8744617018219085,0.2665847395040548,0.2579453605939481,0.0,0.00045843261621159764,0.008639378910106688
NewThyroid2,relative_entropy,116740,curriculum,0.8786632710196766,0.2695586592990631,0.2612157068020914,0.0,0.0029069600960170265,0.0083429524969717
BCWDD,relative_entropy,670488,self_paced,0.8192520102255223,0.22541749030518263,0.20916621591856535,0.0018249600297177721,0.001339091062225049,0.016251274386617276
NewThyroid2,relative_entropy,116740,static,0.8514541479607849,0.2695586592990631,0.2675620939572771,0.0,0.0017291969014149975,0.001996565341785994
BCWDD,relative_entropy,116740,curriculum,0.7809447615994345,0.23406454032850854,0.20468487927641663,0.0012323269940856857,0.001533660601864625,0.029379661052091915
NewThyroid2,relative_entropy,116740,self_paced,0.8795943498400777,0.2695586592990631,0.27226177917221106,0.0,0.0021866434881139003,0.0027031198731479744
NewThyroid2,relative_entropy,26226,curriculum,0.8882146244287338,0.2726460846149061,0.2655068741009475,0.0,0.0032640096274464195,0.007139210513958605
BCWDD,relative_entropy,116740,static,0.7764346250185121,0.23406454032850854,0.20939461023145844,0.0012323269940856857,0.0013148056997370236,0.024669930097050097
NewThyroid2,relative_entropy,26226,static,0.9055143408934954,0.2726460846149061,0.27157641211917455,0.0,0.004873992557523522,0.0010696724957315329
BCWDD,relative_entropy,116740,self_paced,0.8042720910882271,0.23406454032850854,0.2180744670033,0.0012323269940856857,0.0018591028664297167,0.015990073325208548
NewThyroid2,relative_entropy,26226,self_paced,0.8963803060605254,0.2726460846149061,0.2711659128883986,0.0,0.005087969096533141,0.0014801717265074954
Hypothyroid,,670488,static,0.7898361598031157,0.33675638839170574,0.3366642544243137,8.640255986253359e-05,0.002179784232056596,9.21339673920496e-05
