dataset,hardness_metric,seed,weighting_strategy,overall_similarity,mean_ks_statistic,std_ks_statistic,mean_ks_pvalue
BCWDD,,670488,static,0.7776444368249614,0.22235556317503855,0.16132288678611473,0.15240234459160606
BCWDD,,116740,static,0.8057031830390308,0.1942968169609692,0.13810445653728418,0.13068454370662683
NewThyroid2,,670488,static,0.7656058751529988,0.23439412484700126,0.20452705868964877,0.22453455105695982
NewThyroid2,,116740,static,0.7914116687066505,0.20858833129334967,0.2021254805362926,0.20024149453329285
BCWDD,,26226,static,0.8192468141036631,0.18075318589633696,0.1262675876672263,0.16440610226732302
NewThyroid2,,26226,static,0.8601591187270502,0.13984088127294986,0.14239034941496806,0.32014564882722923
BCWDD,relative_entropy,670488,curriculum,0.6730098862792161,0.32699011372078407,0.24052496851179134,0.10688323591260207
NewThyroid2,relative_entropy,670488,curriculum,0.7897796817625458,0.21022031823745407,0.2257121411116583,0.2672273271957158
NewThyroid2,relative_entropy,670488,static,0.7161362709098328,0.28386372909016727,0.24308778850746782,0.23682937028472997
BCWDD,relative_entropy,670488,static,0.7486713526487229,0.2513286473512772,0.17060473166154314,0.10856916625118958
NewThyroid2,relative_entropy,670488,self_paced,0.7521419828641372,0.24785801713586295,0.23384224456965602,0.28222493779951124
NewThyroid2,relative_entropy,116740,curriculum,0.7732558139534883,0.22674418604651164,0.19324175449317163,0.19258485557073882
BCWDD,relative_entropy,670488,self_paced,0.7375278587347849,0.2624721412652152,0.175375687248502,0.10758625015387542
NewThyroid2,relative_entropy,116740,static,0.8152794777641779,0.18472052223582214,0.17961572655251445,0.19756835780389367
BCWDD,relative_entropy,116740,curriculum,0.7302703011600663,0.2697296988399337,0.17760128650068713,0.11046492860000724
NewThyroid2,relative_entropy,116740,self_paced,0.8116075071399428,0.1883924928600571,0.18998239979717677,0.20919125118320364
NewThyroid2,relative_entropy,26226,curriculum,0.8127294981640146,0.1872705018359853,0.17777740896149627,0.29491890924471736
BCWDD,relative_entropy,116740,static,0.7151265786616378,0.2848734213383622,0.20584019094732564,0.10817945820522686
NewThyroid2,relative_entropy,26226,static,0.8450632394940839,0.15493676050591593,0.12624483135107314,0.1927193520731869
BCWDD,relative_entropy,116740,self_paced,0.7275844333961942,0.27241556660380595,0.20520670554831472,0.1456775907148027
NewThyroid2,relative_entropy,26226,self_paced,0.8403712770297839,0.15962872297021627,0.15722677113741446,0.32289630060149177
Hypothyroid,,670488,static,0.7188737505015439,0.28112624949845616,0.31373657352170736,0.15789473684249475
NewThyroid2,pca_contribution,670488,curriculum,0.7079763361893106,0.2920236638106895,0.2566055811337655,0.2626308022196478
BCWDD,relative_entropy,26226,curriculum,0.7587290702325847,0.24127092976741524,0.16956547884186343,0.1270901943541696
NewThyroid2,pca_contribution,670488,static,0.7656058751529988,0.23439412484700123,0.21032404872929128,0.2123503821468475
BCWDD,relative_entropy,26226,static,0.8098748499914281,0.19012515000857194,0.12730291299425445,0.15685627039878136
NewThyroid2,pca_contribution,670488,self_paced,0.7717258261933906,0.22827417380660953,0.2356507437036384,0.2720475232300061
NewThyroid2,pca_contribution,116740,curriculum,0.8013055895552835,0.19869441044471645,0.17799205396655213,0.1993560701820545
BCWDD,relative_entropy,26226,self_paced,0.7438710783473341,0.2561289216526659,0.20091661644730724,0.15569977533911042
NewThyroid2,pca_contribution,116740,static,0.7976336189310484,0.20236638106895144,0.1896363715916426,0.19804071730695522
BCWDD,pca_contribution,670488,curriculum,0.691353791645237,0.30864620835476314,0.1841342957686628,0.10633452718039198
NewThyroid2,pca_contribution,116740,self_paced,0.7304161566707466,0.26958384332925334,0.22052983137522017,0.2089647480419807
NewThyroid2,pca_contribution,26226,curriculum,0.7871277029783762,0.21287229702162386,0.2092175576318007,0.2771134145390407
BCWDD,pca_contribution,670488,static,0.6848962797874165,0.31510372021258365,0.23739356381619248,0.1060672570042721
NewThyroid2,pca_contribution,26226,static,0.8191554467564259,0.18084455324357407,0.17092360899550554,0.2764768446756029
BCWDD,pca_contribution,670488,self_paced,0.7010114863706497,0.2989885136293502,0.20743285277412377,0.10716080838473437
NewThyroid2,pca_contribution,26226,self_paced,0.847205222358221,0.15279477764177887,0.11574449257974051,0.22341250500116838
NewThyroid2,feature_kDN,670488,curriculum,0.7980416156670748,0.20195838433292537,0.18698506436379786,0.3212476847003131
BCWDD,pca_contribution,116740,curriculum,0.756386079204526,0.24361392079547406,0.15694285519192522,0.1174197631746876
NewThyroid2,feature_kDN,670488,static,0.8264993880048961,0.17350061199510405,0.1403335303295113,0.26001960545690705
BCWDD,pca_contribution,116740,static,0.709526258643351,0.29047374135664894,0.22925363514241248,0.11087121628653844
NewThyroid2,feature_kDN,670488,self_paced,0.7634638922888618,0.23653610771113834,0.22348465799362105,0.29738297395838736
NewThyroid2,feature_kDN,116740,curriculum,0.7941656466748267,0.20583435332517344,0.2046266843694656,0.2605888708352244
BCWDD,pca_contribution,116740,self_paced,0.7496428367335276,0.25035716326647234,0.17484683414026905,0.12075448787726206
NewThyroid2,feature_kDN,116740,static,0.79171766625867,0.2082823337413301,0.19876576564438359,0.25170608560085406
Hypothyroid,,116740,static,0.7138844791793871,0.28611552082061303,0.29884319720491787,0.1052631578947374
BCWDD,pca_contribution,26226,curriculum,0.7575290016572377,0.24247099834276242,0.1601813258890308,0.12023801224436531
NewThyroid2,feature_kDN,116740,self_paced,0.8348633210934312,0.16513667890656875,0.16797515984134387,0.24835797822340927
NewThyroid2,feature_kDN,26226,curriculum,0.8451652386780907,0.1548347613219094,0.12815847388853363,0.3206253139977744
BCWDD,pca_contribution,26226,static,0.7488427910166295,0.25115720898337046,0.19795858999608992,0.1325993896238714
NewThyroid2,feature_kDN,26226,static,0.8539371685026519,0.14606283149734803,0.15003161183832753,0.32237313718740634
