dataset,hardness_metric,seed,weighting_strategy,mean_similarity,mean_ks_statistic,std_ks_statistic
BCWDD,,670488,static,0.5326473609221399,0.4007058859793783,0.14176856158957013
BCWDD,,116740,static,0.5161802089430477,0.42707334740995334,0.1420690499086819
NewThyroid2,,670488,static,0.4092398706077653,0.7230352846832399,0.08543585033126265
NewThyroid2,,116740,static,0.4172054918961317,0.6957030205827319,0.10139349130052827
BCWDD,,26226,static,0.5005548819097417,0.4249248647565618,0.13322972883005407
NewThyroid2,,26226,static,0.400436392723029,0.7004477412456561,0.10363870123364531
BCWDD,relative_entropy,670488,curriculum,0.5074674576510372,0.5085060801750844,0.1410182103999796
NewThyroid2,relative_entropy,670488,curriculum,0.3924404758961372,0.731622560812617,0.11013994229391098
NewThyroid2,relative_entropy,670488,static,0.40825636271294424,0.7909649826249665,0.08031238249019755
BCWDD,relative_entropy,670488,static,0.48616900231672194,0.4783471787679362,0.15040308865073593
NewThyroid2,relative_entropy,670488,self_paced,0.4666697878626055,0.7326583801122695,0.10276210756424776
NewThyroid2,relative_entropy,116740,curriculum,0.40746568329011945,0.7266105319433306,0.11772908610674845
BCWDD,relative_entropy,670488,self_paced,0.5011293462526444,0.45120909945594384,0.1530181475384743
NewThyroid2,relative_entropy,116740,static,0.3758136632918038,0.7174886394012296,0.11627321745236051
BCWDD,relative_entropy,116740,curriculum,0.49922917097344066,0.47438003791439975,0.14463293554615217
NewThyroid2,relative_entropy,116740,self_paced,0.436773318852239,0.6890203154236835,0.09773022195218076
NewThyroid2,relative_entropy,26226,curriculum,0.3710252102442087,0.7362670408981556,0.10180868827094545
BCWDD,relative_entropy,116740,static,0.5191873765379371,0.5027696006658139,0.1368782544991877
NewThyroid2,relative_entropy,26226,static,0.4256002219819452,0.6822707832130447,0.13425390423320882
BCWDD,relative_entropy,116740,self_paced,0.5066575385782855,0.4347117118505618,0.14515421006284016
NewThyroid2,relative_entropy,26226,self_paced,0.4228933784472033,0.6881515637530072,0.13086842795669654
Hypothyroid,,670488,static,0.6300545279060635,0.6759941495144565,0.17891484747750924
NewThyroid2,pca_contribution,670488,curriculum,0.3868857021682877,0.7840483827853514,0.08790768432248226
BCWDD,relative_entropy,26226,curriculum,0.48398527475343667,0.49260669204568225,0.1498671150855656
